barcode,title,author,category,callNumber
BHI00001,3분만 바라보면 눈이 젊어진다 : 노벨상으로 증명된 &apos;가보르 아이&apos; 업그레이드 완전판,"히라마쓰 루이 지음,김윤희 옮김",일 반,515.7
BHI00002,다니엘스의 러닝 포뮬러 : 전 세계 러너들의 바이블,"잭 다니엘스 지음,주용태 옮김",일 반,694.3
BHI00003,느리게 나이 드는 습관 : 노년내과 의사가 알려주는 감속노화 실천법,정희원 지음,일 반,511.1689
BHI00004,내 몸 혁명  : 뱃살과 질병 없이 살려면 숫자보다 몸을 바꿔라,박용우 지음,일 반,517.52
BHI00005,내 몸 바꾸는 식사법,"시바타 시게노부 감수,홍성민 옮김",일 반,517.52
BHI00006,맨발걷기 동의보감  : 맨발걷기로 치유받은 123명의 기적같은 이야기,박동창 지음,일 반,517.32
BHI00007,백년운동 : 척추·관절 아프지 않게 100세까지 운동하는 방법,정선근 저,일 반,517.32
BHI00008,백년허리,정선근 지음.,일 반,514.325
BHI00009,백년허리,정선근 지음,일 반,514.325
BHI00010,영혼이 강한 아이로 키워라,조선미 지음,일 반,598.1
BHI00011,"아이를 무너트리는 말,  아이를 일으켜 세우는 말  : 상처 받기 쉬운 아이의 마음을 지키는 대화법 70가지","고도칸 지음,한귀숙 옮김",일 반,598.1
BHI00012,아이는 무엇으로 자라는가  : 세계적 가족 심리학자 버지니아 사티어의 15가지 양육 법칙,"버지니아 사티어 지음,강유리 옮김",일 반,598.1
BHI00013,마음이 부자인 아이는 어떻게 성장하는가  : 행복할 줄 아는 아이로 키우는 정서 육아법,박소영 지음,일 반,598.1
BHI00014,(평생 걷고 뛰고 싶다면) 생존근육 3가지만 키워라,이상모 지음,일 반,593.5
BHI00015,탄수화물의 경고  : 당뇨병 명의가 알려주는 당질제한식 31가지,"에베 코지 지음,한성례 옮김",일 반,517.52
BHI00016,지방 대사 켜는 스위치온 다이어트,박용우 지음,일 반,517.52
BHI00017,"저속노화 식사법,전자자료 : 노년내과 의사가 알려주는 기적의 식단 혁명",정희원 지음,일 반,517.5
BHI00018,"(세상에서 가장 알기 쉬운)근육연결도감 = ,Connection of muscles encyclopedia","키마타 료 지음,장하나 옮김",일 반,511.476
BHI00019,단순한 진심 : 조해진 장편소설,조해진 지음,일 반,813.7
BHI00020,변신 : 우리는 가족이었을까?,"프란츠 카프카 지음,랭브릿지 옮김.",일 반,853
BHI00021,밤에 우리 영혼은,"켄트 하루프 지음,김재성 옮김",일 반,843
BHI00022,어린 왕자,"앙투안 드 생텍쥐페리 지음,전성자 옮김",일 반,863
BHI00023,소설 보다  : 가을 2024,"권희진,이미상,정기현",일 반,813.7
BHI00024,변신,프란츠카프카 지음. 한영란 옮김,일 반,850
BHI00025,눈사람 자살 사건 : 최승호 우화집,최승호 지음,일 반,813.8
BHI00026,이처럼 사소한 것들 : 클레어 키건 소설,"클레어 키건 지음,홍한별 옮김",일 반,843.6
BHI00027,지구에서 한아뿐 : 정세랑 장편소설,정세랑 지음,일 반,813.7
BHI00028,직녀의 일기장,전아리 지음,일 반,813.7
BHI00029,황금나침반,"필립 풀먼 저,이창식 옮김.,1:,황금나침반",일 반,843
BHI00030,황금나침반,"필립 풀먼,역자: 이창식",일 반,843
BHI00031,소설 보다  : 여름 2024,"서장원,예소연,함윤이",일 반,813.7
BHI00032,소설 보다  : 겨울 2023,"김기태,성해나,예소연",일 반,813.7
BHI00033,아침 그리고 저녁  : 욘 포세 장편소설,"욘 포세 지음,박경희 옮김",일 반,859.82
BHI00034,"샤이닝  = ,Shining  : 욘 포세 장편소설","욘 포세,옮긴이: 손화수",일 반,859.82
BHI00035,빛과 물질에 관한 이론  : 앤드루 포터 소설,"앤드루 포터 지음,김이선 옮김",일 반,843.6
BHI00036,"너의 이름은 = ,Your name","신카이 마코토 지음,박미정 옮김",일 반,833.6
BHI00037,스즈메의 문단속,"신카이 마코토 지음,민경욱 옮김",일 반,833.6
BHI00038,너무 시끄러운 고독 솔밭스마트,"보후밀 흐라발 지음,이창실 옮김",일 반,892.96
BHI00039,합체,박지리 지음,일 반,813.7
BHI00040,바르톨로메는 개가 아니다,"라헐 판 코에이 지음,박종대 옮김",일 반,853
BHI00041,날개 : 이상 소설전집,이상 지음,일 반,810.82
BHI00042,너는 달밤에 빛나고,"사노 테츠야 지음,박정원 옮김",일 반,833.6
BHI00043,나의 라임오렌지나무,"J. M. 바스콘셀로스 지음,박동원 옮김",일 반,879.3
BHI00044,구토,"장 폴 사르트르,옮긴이: 임호경",일 반,863
BHI00045,"델 문도  = ,Del mundo  : 세상 어딘가에  : 최상희 소설집",최상희,일 반,813.7
BHI00046,살인자의 기억법 : 김영하 장편소설,김영하 지음,일 반,813.7
BHI00047,윤동주 시집,윤동주 지음,일 반,811.6
BHI00048,페르시아에서의 죽음,"안네마리 슈바르첸바흐,옮긴이: 박현용",일 반,853
BHI00049,변신 : 프란츠 카프카 소설,"프란츠 카프카 지음,루이스 스카파티 그림,이재황 옮김",일 반,853
BHI00050,호밀밭의 파수꾼,"J. D. 샐린저 지음,이덕형 옮김",일 반,864
BHI00051,에브리맨  : 필립 로스 장편소설,"필립 로스 지음,정영목 옮김",일 반,843
BHI00052,야간 비행,"앙투안 드 생텍쥐페리 지음,용경식 옮김",일 반,863
BHI00053,도리언 그레이의 초상 1890,"오스카 와일드 지음,임슬애 옮김",일 반,843
BHI00054,열쇠,"다니자키 준이치로 지음,김효순 옮김",일 반,833.6
BHI00055,시지프 신화,"알베르 카뮈,옮긴이: 이가림",일 반,864
BHI00056,연금술사,"파울로 코엘료 지음,최정수 옮김",일 반,879
BHI00057,연어,안도현 지음,일 반,813.8
BHI00058,외투,"니콜라이 고골 지음,조주관 옮김",일 반,892.83
BHI00059,제5도살장,"커트 보니것 지음,정영목 옮김",일 반,808.3
BHI00060,대성당 : 레이먼드 카버 소설,"레이먼드 카버 지음,김연수 옮김.",일 반,843
BHI00061,단순한 열정,"아니 에르노 지음,최정수 옮김",일 반,863
BHI00062,노인과 바다 : 어니스트 헤밍웨이 소설,"어니스트 헤밍웨이 지음,이인규 옮김.",일 반,863
BHI00063,달러구트 꿈 백화점,이미예 지음,일 반,813.7
BHI00064,달러구트 꿈 백화점2,이미예,일 반,813.7
BHI00065,"회복하는 인간,전자자료  = ,Convalescence","한강 지음,전승희 옮김",일 반,813.7
BHI00066,채식주의자  : 한강 장편소설,한강,일 반,813.7
BHI00067,작별하지 않는다 : 한강 장편소설,한강 지음,일 반,813.7
BHI00068,"여수의 사랑 - 2024 노벨문학상 수상작가,  개정판",한강 (지은이),일 반,813.7
BHI00069,소년이 온다  : 한강 장편소설,한강 지음,일 반,813.7
BHI00070,햄릿,"윌리엄 셰익스피어 지음,최종철 옮김",일 반,808
BHI00071,"변신,  시골의사","프란츠 카프카,전영애 옮김",일 반,808
BHI00072,인간의 굴레에서,"서머싯 몸 지음,송무 옮김",일 반,808
BHI00073,"이반 데니소비치,  수용소의 하루","알렉산드르 솔제니친 지음,이영의 옮김",일 반,808
BHI00074,젊은 베르테르의 슬픔,"요한 볼프강 폰 괴테 지음,박찬기 옮김",일 반,808
BHI00075,다섯째 아이,"도리스 레싱 지음,정덕애 옮김",일 반,808.3
BHI00076,삶의 한가운데,"루이제 린저 지음,박찬일 옮김",일 반,808
BHI00077,양철북,"귄터 그라스 지음,장희창 옮김",일 반,808
BHI00078,백년의 고독 1,"가브리엘 가르시아 마르케스 지음,조구호 옮김.",일 반,808
BHI00079,마담 보바리,"귀스타브 플로베르 지음,김화영 옮김",일 반,808
BHI00080,달과 6펜스,"서머싯 몸 지음,송무 옮김.",일 반,808.9
BHI00081,고도를 기다리며,"사뮈엘 베케트 지음,오증자 옮김",일 반,808
BHI00082,데미안,"헤르만 헤세 지음,전영애 옮김",일 반,808.9
BHI00083,카탈로니아 찬가,"조지 오웰 지음,정영목 옮김",일 반,808
BHI00084,수레바퀴 아래서,"헤르만 헤세 지음,김이섭 옮김.",일 반,808
BHI00085,내 이름은 빨강 1,"오르한 파묵 지음,이난아 옮김.",일 반,808
BHI00086,모래의 여자,"아베 코보 지음,김난주 옮김",일 반,808
BHI00087,싯다르타,"헤르만 헤세 지음,박병덕 옮김.",일 반,808
BHI00088,소망 없는 불행,"페터 한트케 지음,윤용호 옮김",일 반,808
BHI00089,나르치스와 골드문트,"헤르만 헤세 지음,임홍배 옮김",일 반,808
BHI00090,황야의 이리,"헤르만 헤세 지음,김이섭 옮김.",일 반,808
BHI00091,체호프 단편선,"안톤 체호프 지음,박현선 옮김.",일 반,808
BHI00092,구운몽,"김만중 지음,송성욱 옮김",일 반,808
BHI00093,위대한 개츠비,"F.스콧 피츠제럴드 지음,김욱동 옮김.",일 반,808
BHI00094,오만과 편견,"제인 오스틴 지음,윤지관 옮김,전승희 옮김.",일 반,808
BHI00095,인간 실격,"다자이 오사무 지음,김춘미 옮김.",일 반,808
BHI00096,네루다의 우편배달부,"안토니오 스카르메타 지음,우석균 옮김",일 반,808
BHI00097,달콤 쌉싸름한 초콜릿,"라우라 에스키벨 지음,권미선 옮김",일 반,808
BHI00098,폭풍의 언덕,"에밀리 브론테 지음,김종길 옮김.",일 반,808
BHI00099,인생의 베일,"서머싯 몸 지음,황소연 옮김.",일 반,808
BHI00100,보이지 않는 도시들,"이탈로 칼비노 지음,이현경 옮김",일 반,808
BHI00101,연인,"마르그리트 뒤라스 지음,김인환 옮김.",일 반,808
BHI00102,무진기행,김승옥 지음.,일 반,808
BHI00103,깊은 강,"엔도 슈사쿠 지음,유숙자 옮김",일 반,808
BHI00104,포스트맨은 벨을 두 번 울린다,"제임스 M.케인,이만식 옮김.",일 반,808
BHI00105,분노의 포도,"존 스타인벡 지음,김승욱 옮김",일 반,808
BHI00106,분노의 포도2,"존 스타인벡 지음,김승욱 옮김",일 반,808
BHI00107,브람스를 좋아하세요..,"프랑수아즈 사강 지음,김남주 옮김.",일 반,863
BHI00108,카타리나 블룸의 잃어버린 명예,"하인리히 뵐 지음,김연수 옮김.",일 반,808
BHI00109,하드리아누스 황제의 회상록,"마르그리트 유르스나르 지음,곽광수 옮김",일 반,808
BHI00110,하드리아누스 황제의 회상록,"마르그리트 유르스나르 지음,곽광수 옮김.",일 반,808
BHI00111,면도날,"서머싯 몸 지음,안진환 옮김.",일 반,808
BHI00112,세일즈맨의 죽음,"아서 밀러 지음,강유나 옮김",일 반,808
BHI00113,아우라,"카를로스 푸엔테스 지음,송상기 옮김",일 반,808
BHI00114,참을 수 없는 존재의 가벼움,"밀란 쿤데라 지음,이재룡 옮김",일 반,808
BHI00115,지하로부터의 수기,"표도르 도스토예프스키 지음,김연경 옮김",일 반,808
BHI00116,인형의 집,"헨리크 입센 지음,안미란 옮김",일 반,808
BHI00117,베니스의 상인,"윌리엄 셰익스피어 지음,최종철 옮김",일 반,808
BHI00118,이방인,"알베르 카뮈 지음, 김화영 옮김",일 반,808.3
BHI00119,여름,"이디스 워튼 지음,김욱동 옮김",일 반,808
BHI00120,픽션들,"호르헤 루이스 보르헤스 지음,송병선 옮김",일 반,808
BHI00121,시련,"아서 밀러 지음,최영 옮김",일 반,808.3
BHI00122,이상 소설 전집,"이상 지음,권영민 책임 편집.",일 반,808
BHI00123,라쇼몬,"아쿠타가와 류노스케 지음,서은혜 옮김",일 반,808
BHI00124,사양,"다자이 오사무 지음,유숙자 옮김.",일 반,808
BHI00125,케이크와 맥주,"서머싯 몸 지음,황소연 옮김.",일 반,808
BHI00126,코뿔소,"외젠 이오네스코 지음,박형섭 옮김",일 반,808.9
